UserName,AccX,AccY,AccZ,Activity
Rikhil,-0.564999998,2.671000004,9.18200016,Walking
Rikhil,0.0,2.749000072,0.0,Walking
Rikhil,-0.201000005,2.549999952,8.958999634,Walking
Rikhil,-0.26699999,2.028000116,9.503000259,Walking
Rikhil,-0.389999986,2.14199996,9.718999862999999,Walking
Rikhil,-0.48300001,2.124000072,9.355999947,Walking
Rikhil,0.0,2.163000107,9.234000206000001,Walking
Rikhil,-0.333000004,0.0,0.0,Walking
Rikhil,-0.405999988,2.190000057,9.432999611,Walking
Rikhil,-0.441000015,2.086999893,9.902999878,Walking
Rikhil,-0.39199999,2.125999928,9.767000198,Walking
Rikhil,-0.268999994,2.114000082,9.652000427,Walking
Rikhil,-0.236000001,2.142999887,9.602999687,Walking
Rikhil,-0.202999994,1.973999977,9.657999992,Walking
Rikhil,0.0,2.055999994,0.0,Walking
Rikhil,-0.17800000300000002,0.0,9.800999641,Walking
Rikhil,-0.202999994,2.049999952,9.744999886,Walking
Rikhil,-0.185000002,2.11500001,9.704999924,Walking
Rikhil,-0.221000001,2.204999924,9.593999862999999,Walking
Rikhil,-0.333999991,2.247999907,9.793999672,Walking
Rikhil,-0.423999995,2.289999962,9.795000076,Walking
Rikhil,-0.504000008,2.207999945,9.727000237,Walking
Rikhil,-0.50999999,2.1930000780000003,9.522000313,Walking
Rikhil,-0.507000029,2.180000067,9.458999634,Walking
Rikhil,-0.500999987,2.140000105,9.473999977,Walking
Rikhil,-0.3810000120000001,2.009000063,10.03499985,Walking
Rikhil,-0.231000006,1.965000033,10.00699997,Walking
Rikhil,0.028999999,1.848999977,9.871999741,Walking
Rikhil,0.148000002,1.736999989,9.93999958,Walking
Rikhil,0.513000011,1.4789999719999998,10.49699974,Walking
Rikhil,0.663999975,1.425999999,10.78100014,Walking
Rikhil,0.874000013,1.368000031,10.52099991,Walking
Rikhil,0.8500000240000001,1.618000031,10.52799988,Walking
Rikhil,0.597000003,1.807999969,10.23900032,Walking
Rikhil,0.7250000240000001,1.856999993,9.305999756,Walking
Rikhil,0.559000015,2.226000071,9.586999893,Walking
Rikhil,0.486000001,1.7710000280000002,9.210000037999999,Walking
Rikhil,-0.426999986,2.138999939,8.569000244,Walking
Rikhil,0.393000007,1.284000039,8.553999901000001,Walking
Rikhil,0.7630000109999999,0.925000012,8.532999992,Walking
Rikhil,0.8939999940000001,0.6949999929999999,9.326000214,Walking
Rikhil,0.7620000240000001,0.75,9.623000145,Walking
Rikhil,0.066,0.745999992,9.732000351,Walking
Rikhil,-0.405999988,0.354999989,9.451000214,Walking
Rikhil,0.412,-0.097000003,8.31499958,Walking
Rikhil,1.55400002,0.349999994,6.981999874,Walking
Rikhil,2.3420000080000003,1.470999956,10.51200008,Walking
Rikhil,0.035,2.963999987,8.453000069,Walking
Rikhil,0.0,0.656000018,0.0,Walking
Rikhil,-0.340000004,0.0,10.93200016,Walking
Rikhil,-1.003000021,0.949999988,10.26799965,Walking
Rikhil,0.0,1.4789999719999998,9.352999687,Walking
Rikhil,0.202999994,0.0,0.0,Walking
Rikhil,0.90200001,1.343000054,9.182999611,Walking
Rikhil,0.275999993,1.7779999969999998,9.784000397,Walking
Rikhil,0.0,1.511000037,0.0,Walking
Rikhil,-0.224999994,0.0,9.701999664,Walking
Rikhil,0.066,1.343000054,9.916999817,Walking
Rikhil,0.078000002,1.069000006,10.52600002,Walking
Rikhil,-0.209000006,1.062000036,10.50699997,Walking
Rikhil,-0.151999995,1.343999982,9.873999596,Walking
Rikhil,0.083999999,1.389999986,9.819000244,Walking
Rikhil,0.221000001,1.172999978,10.06999969,Walking
Rikhil,0.0,0.931999981,0.0,Walking
Rikhil,0.057999998,0.0,9.800000191,Walking
Rikhil,0.0,0.611999989,9.173000336,Walking
Rikhil,0.277999997,0.0,0.0,Walking
Rikhil,0.0,0.531000018,0.0,Walking
Rikhil,0.203999996,0.0,10.00300026,Walking
Rikhil,0.014,0.660000026,10.13599968,Walking
